Tamanho do Pacote (bytes),Porta de Origem,Porta de Destino
91,52421,443
88,443,52421
91,52421,443
88,443,52421
103,61380,3544
151,3544,61380
66,55955,17301
66,17301,55955
54,55955,17301
82,55955,17301
54,17301,55955
54,55955,17301
54,55955,17301
54,17301,55955
214,59727,6667
91,52421,443
88,443,52421
86,57621,57621
214,59727,6667
91,52421,443
88,443,52421
174,443,52421
217,54171,1900
214,59727,6667
217,54171,1900
217,54171,1900
75,55518,5228
86,5228,55518
217,54171,1900
539,52421,443
95,443,52421
95,52421,443
91,52421,443
589,443,52421
101,52421,443
85,443,52421
534,52421,443
88,443,52421
573,443,52421
101,52421,443
89,443,52421
85,443,52421
95,52421,443
88,443,52421
91,52421,443
88,443,52421
113,443,55704
98,443,55704
74,55704,443
74,443,55704
74,55704,443
74,55704,443
74,443,55704
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
214,59727,6667
91,52421,443
88,443,52421
75,55662,443
86,443,55662
91,52421,443
88,443,52421
55,55706,443
66,443,55706
446,52421,443
95,443,52421
95,52421,443
88,443,52421
96,52421,443
98,52948,53
98,57582,53
98,50165,53
234,53,52948
172,53,50165
218,53,57582
144,63939,443
689,63939,443
91,52421,443
358,443,63939
996,443,63939
101,443,63939
140,63939,443
93,63939,443
86,443,63939
84,443,63939
93,63939,443
802,443,52421
103,52421,443
86,443,52421
96,52421,443
1013,52421,443
88,443,52421
95,443,52421
95,52421,443
182,443,63939
94,63939,443
318,52421,443
381,443,63939
97,63939,443
263,443,63939
95,443,52421
94,63939,443
95,52421,443
557,443,52421
85,443,52421
101,52421,443
95,52421,443
87,443,63939
88,443,52421
567,443,52421
101,52421,443
85,443,52421
534,52421,443
561,443,52421
101,52421,443
89,443,52421
85,443,52421
95,52421,443
95,443,52421
95,52421,443
88,443,52421
88,443,52421
96,52421,443
91,52421,443
88,443,52421
91,52421,443
54,443,55677
88,443,52421
91,52421,443
96,62166,53
96,57102,53
96,52406,53
161,53,62166
149,53,57102
178,53,52406
143,60626,443
88,443,52421
99,60626,443
351,443,60626
143,60626,443
110,443,60626
142,443,60626
105,443,60626
119,443,60626
98,60626,443
102,443,60626
174,443,60626
110,443,60626
334,443,60626
98,60626,443
97,60626,443
91,52421,443
88,443,52421
91,52421,443
88,443,52421
214,59727,6667
91,52421,443
88,443,52421
142,62228,443
654,62228,443
144,62228,443
373,443,62228
981,443,62228
93,62228,443
118,443,62228
86,443,62228
84,443,62228
93,62228,443
182,443,62228
94,62228,443
99,64599,53
99,61613,53
99,61084,53
152,53,64599
140,53,61613
169,53,61084
219,443,62228
